Identificador,Plantel
214251725,733-UNIVERSIDAD DE HANKUK - COREA DEL SUR
214251726,734-UNIVERSIDAD DE SEÚL - COREA DEL SUR
214251727,735-UNIVERSIDAD DE ALCALÁ - ESPAÑA
214251728,736-UNIVERSIDAD DE BARCELONA - ESPAÑA
214251729,737-UNIVERSIDAD DE CASTILLA-LA MANCHA - ESPAÑA
214251730,738-UNIVERSIDAD DE CÓRDOBA - ESPAÑA
214251731,739-UNIVERSIDAD DE DEUSTO - ESPAÑA
214251732,740-UNIVERSIDAD DE EXTREMADURA - ESPAÑA
214251733,741-UNIVERSIDAD DE GRANADA - ESPAÑA
214251734,742-UNIVERSIDAD DE HUELVA - ESPAÑA
214251735,743-UNIVERSIDAD DE JAUME I - ESPAÑA
214251736,744-UNIVERSIDAD DE LA LAGUNA - ESPAÑA
214251737,745-UNIVERSIDAD DE LA RIOJA - ESPAÑA
214251738,746-UNIVERSIDAD DE LEÓN - ESPAÑA
214251739,747-UNIVERSIDAD DE MÁLAGA - ESPAÑA
214251740,748-UNIVERSIDAD DE SANTIAGO DE COMPOSTELA - ESPAÑA
214251741,749-UNIVERSIDAD DE SEVILLA - ESPAÑA
214251742,750-UNIVERSIDAD DE VIGO - ESPAÑA
214251743,751-UNIVERSIDAD DE ZARAGOZA - ESPAÑA
214251744,752-UNIVERSIDAD EUROPEA MIGUEL DE CERVANTES - ESPAÑA
214251745,753-UNIVERSIDAD MIGUEL HERNÁNDEZ ELCHE - ESPAÑA
214251746,754-UNIVERSIDAD PABLO DE OLAVIDE - ESPAÑA
214251747,755-UNIVERSIDAD POLITÉCNICA DE CARTAGENA - ESPAÑA
214251748,756-UNIVERSIDAD POLITÉCNICA DE VALENCIA - ESPAÑA
214251749,757-UNIVERSIDAD DE CIENCIAS APLICADAS DE TAMPERE - ...
214251750,758-UNIVERSIDAD DE POITIERS - FRANCIA
214251751,759-UNIVERSITÉ LUMIÈRE LYON 2 - FRANCIA
214251752,760-UNIVERSIDAD DE BOLONIA - ITALIA
214251753,761-UNIVERSIDAD DE TURÍN - ITALIA
214251754,762-UNIVERSIDAD DE VERONA - ITALIA
214251755,763-UNIVERSIDAD ROMA TRE - ITALIA
214251756,764-UNIVERSIDAD DE SAITAMA - JAPÓN
214251757,765-PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU - PERU
214251758,766-UNIVERSIDAD CATOLICA DE SANTA MARIA - PERU
214251759,767-UNIVERSIDAD CESAR VALLEJO - PERU
214251760,768-UNIVERSIDAD DE LODZ - POLONIA
214251761,769-UNIVERSIDAD DE VARSOVIA - POLONIA
214251762,770-UNIVERSIDADE DO MINHO - PORTUGAL
214251763,771-UNIVERSIDAD DE PORTO - PORTUGAL
214251764,772-UNIVERSIDAD DE HRADEC KRALOVÉ - REPUBLICA CHECA
214251765,773-UNIVERSIDAD DE MENDEL - REPUBLICA CHECA
214251766,774-UNIVERSIDAD DE OSTRAVA - REPUBLICA CHECA
214251767,775-UNIVERSIDAD DE PALACKÝ - REPUBLICA CHECA
214251768,776-UNIVERSIDAD DE TAMKANG - TAIWÁN
214251769,777-UNIVERSIDAD DE LA REPÚBLICA  - URUGUAY
214367995,778-UNIVERSIDAD DE CIENCIAS APLICADAS DE FRANKFURT ...
215777700,779-UNIVERSIDAD POLITECNICA DE MADRID - ESPAÑA
215777753,780-UNIVERSIDAD NACIONAL DEL SUR - ARGENTINA
215777754,781-UNIVERSIDAD JAUME I - ESPAÑA
225462995,782-UNIVERSIDAD INTERNACIONAL SEK - ECUADOR
225462996,783-UNIVERSIDAD CIENTIFICA DEL SUR - PERU
231013691,784-UNIVERSIDAD PILOTO DE COLOMBIA - COLOMBIA
231013693,785-UNIVERSIDAD DE LEON - ESPAÑA
231013695,786-UNIVERSIDAD NACIONAL DE ROSARIO - ARGENTINA
231046485,787-UNIVERSIDAD CESAR VALLEJO. CAMPUS LIMA ESTE - PERU
231046486,788-UNIVERSIDAD NACIONAL DE CATAMARCA - ARGENTINA
231046487,789-UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS - PERU
236828352,790-UNIVERSIDAD NACIONAL DE COSTA RICA
231051157,791-PONTIFICIA UNIVERSIDAD CATÓLICA DE ECUADOR - EC...
231051143,792-UNIVERSIDAD TECNOLÓGICA DE PEREIRA - COLOMBIA
235820516,793-CENTRO UNIVERSITARIO TIRADENTES - BRASIL
235820517,794-CORPORACIÓN UNIVERSITARIA MINUTO DE DIOS - COLO...
235820518,795-FACULTAD TIRADENTES - BRASIL
235820519,796-UNIVERSIDAD COOPERATIVA DE COLOMBIA - COLOMBIA
235820520,797-UNIVERSIDAD DE CUENCA - ECUADOR
235820521,798-UNIVERSIDAD DE SAN MARTÍN DE PORRES - PERU
235820522,799-UNIVERSIDAD TIRADENTES - BRASIL
242205626,800-UNIVERSIDAD DE BORDEAUX MONTAIGNE - FRANCIA
242205631,801-UNIVERSIDAD DE BORDEAUX MONTAIGNE - ALEMANIA
242296635,802-UNIVERSIDAD DE DEGGENDORF - ALEMANIA
243359993,803-UNIVERSIDAD DE OSNABRÜCK  - ALEMANIA
243430612,804-UNIVERSIDAD DE MURCIA - ESPAÑA
243776616,805-COMUNICACIÓN AUDIOVISUAL Y DIGITAL  - COLOMBIA
243430613,806-INSTITUTO DE ESTUDIOS POLITICOS DE TOULOUSE
243765990,807-UNIVERSIDAD DE SUCRE COLOMBIA
247261024,808-UNIVERSIDAD DE CIENCIAS APLICADAS DE OSNABRÜCK ...
247261028,809-UNIVERSIDAD DE VALENCIA - ESPAÑA
247261029,810-FUNDACIÓN UNIVERSITARIA JUAN DE CASTELLANOS - C...
247261030,811-UNIVERSIDAD NARIÑO - COLOMBIA
247261034,812-UNIVERSIDAD RICARDO PALMA - PERU
247261035,813-UNIVERSIDAD MILITAR NUEVA GRANADA - COLOMBIA
247261036,814-UNIVERSIDAD DISTRITAL FRANCISCO JOSÉ DE CALDAS ...
249865923,815-FUNDACIÓN UNIVERSITARIA DEL ÁREA ANDINA  - COLO...
249865924,816-UNIVERSIDAD PROVINCIAL DE CÓRDOBA  - ARGENTINA
249865925,817-INSTITUTO SUPERIOR DE ARTES Y DISEÑO DE TOULOUS...
249865926,818-UNIVERSIDAD DISTRITAL FRANCISCO JOSÉ DE CALDAS ...
250032890,819-UNIVERSIDAD DEL ESTADO DE MINAS GERAIS - BRASIL
250100755,820-UNIVERSIDAD DE ALICANTE - ESPAÑA
255783940,821-UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES...
255913628,822-UNIVERSIDAD NACIONAL DE SAN LUIS - ARGENTINA
256366378,823-UNIVERSIDAD SURCOLOMBIANA - COLOMBIA
256366379,824-UNIVERSIDAD FEDERAL DE UBERLANDIA - BRASIL
256366380,825-UNIVERSIDAD FEDERAL DEL ABC - BRASIL
256366381,826-UNIVERSIDAD NACIONAL DE SALTA - ARGENTINA
